Schoolnr;Type school;Start_pilot
1;VO;25-1-2021
2;VO;25-1-2021
3;VO;25-1-2021
4;VO;25-1-2021
5;VO;25-1-2021
6;VO;25-1-2021
7;VO;25-1-2021
8;VO;25-1-2021
9;VO;25-1-2021
10;VO;25-1-2021
11;VO;25-1-2021
12;VO;25-1-2021
13;PRO;27-1-2021
14;VO;27-1-2021
15;VO;27-1-2021
16;VO;27-1-2021
17;VO;27-1-2021
18;VO;27-1-2021
19;PRO;27-1-2021
20;VSO;1-2-2021
21;VSO;1-2-2021
23;VSO;1-2-2021
24;PRO;1-2-2021
25;VSO;1-2-2021
27;PRO;10-2-2021
28;VO;10-2-2021
29;VO;10-2-2021
30;PRO;10-2-2021
31;PRO;12-2-2021
32;VSO;8-3-2021
33;PRO;8-3-2021
34;VO;10-3-2021
35;VO;10-3-2021
36;VO;15-3-2021
37;VO;15-3-2021
38;VO;15-3-2021
39;VO;15-3-2021
40;VO;15-3-2021
41;VO;15-3-2021
42;VO;15-3-2021
43;VO;17-3-2021
44;VO;17-3-2021
45;VO;17-3-2021
46;PRO;1-2-2021
47;PRO;1-2-2021
